product_detail,total_sales,sales_rank
Latte Rg,"301,75",1
Dark chocolate Lg,288,2
Brazilian Lg,"283,5",3
Sustainably Grown Organic Lg,"275,5",4
Sustainably Grown Organic Rg,"266,25",5
Jamaican Coffee River Lg,"262,5",6
Morning Sunrise Chai Lg,240,7
Latte,"236,25",8
Brazilian Rg,231,9
Cappuccino,225,10
Peppermint Lg,213,11
Columbian Medium Roast Lg,207,12
Espresso shot,204,13
Morning Sunrise Chai Rg,200,14
Earl Grey Rg,"197,5",15
Cappuccino Lg,"195,5",16
Our Old Time Diner Blend Lg,192,17
Lemon Grass Lg,189,18
Serenity Green Tea Lg,189,18
English Breakfast Lg,186,20
Serenity Green Tea Rg,"182,5",21
Our Old Time Diner Blend Rg,180,22
Ethiopia Rg,180,22
Jamaican Coffee River Rg,"179,7999999999999",24
Dark chocolate Rg,175,25
Brazilian Sm,"171,60000000000005",26
Earl Grey Lg,171,27
Traditional Blend Chai Lg,165,28
Spicy Eye Opener Chai Lg,"164,29999999999995",29
Traditional Blend Chai Rg,"162,5",30
Jamaican Coffee River Sm,"159,25000000000006",31
Spicy Eye Opener Chai Rg,"158,09999999999994",32
Ethiopia Lg,"157,5",33
Columbian Medium Roast Rg,"157,5",33
Peppermint Rg,145,35
Ouro Brasileiro shot,138,36
English Breakfast Rg,"137,5",37
Lemon Grass Rg,"137,5",37
Our Old Time Diner Blend Sm,128,39
Columbian Medium Roast Sm,120,40
Ethiopia Sm,"116,60000000000007",41
"Scottish Cream Scone ","112,5",42
Croissant,105,43
Chocolate Croissant,105,43
Jumbo Savory Scone,"101,25",45
Ginger Scone,"97,5",46
Chocolate Chip Biscotti,"94,5",47
Ginger Biscotti,"80,5",48
Almond Croissant,75,49
Hazelnut Biscotti,"74,75",50
Oatmeal Scone,66,51
Cranberry Scone,"61,75",52
