time_key,hour,minute,timeslot
1900-01-01 07:06:11,7,6,morning
1900-01-01 07:08:56,7,8,morning
1900-01-01 07:14:04,7,14,morning
1900-01-01 07:20:24,7,20,morning
1900-01-01 07:22:41,7,22,morning
1900-01-01 07:25:49,7,25,morning
1900-01-01 07:33:34,7,33,morning
1900-01-01 07:39:13,7,39,morning
1900-01-01 07:39:34,7,39,morning
1900-01-01 07:43:05,7,43,morning
1900-01-01 07:44:35,7,44,morning
1900-01-01 07:45:51,7,45,morning
1900-01-01 07:48:19,7,48,morning
1900-01-01 07:52:36,7,52,morning
1900-01-01 07:59:58,7,59,morning
1900-01-01 08:00:18,8,0,morning
1900-01-01 08:00:39,8,0,morning
1900-01-01 08:11:45,8,11,morning
1900-01-01 08:17:27,8,17,morning
1900-01-01 08:24:26,8,24,morning
1900-01-01 08:29:38,8,29,morning
1900-01-01 08:31:23,8,31,morning
1900-01-01 08:33:08,8,33,morning
1900-01-01 08:35:03,8,35,morning
1900-01-01 08:41:57,8,41,morning
1900-01-01 08:52:03,8,52,morning
1900-01-01 08:52:32,8,52,morning
1900-01-01 08:54:33,8,54,morning
1900-01-01 08:56:27,8,56,morning
1900-01-01 08:57:46,8,57,morning
1900-01-01 08:58:55,8,58,morning
1900-01-01 09:00:12,9,0,morning
1900-01-01 09:00:24,9,0,morning
1900-01-01 09:07:13,9,7,morning
1900-01-01 09:08:09,9,8,morning
1900-01-01 09:08:13,9,8,morning
1900-01-01 09:10:30,9,10,morning
1900-01-01 09:11:06,9,11,morning
1900-01-01 09:13:01,9,13,morning
1900-01-01 09:13:15,9,13,morning
1900-01-01 09:14:16,9,14,morning
1900-01-01 09:14:17,9,14,morning
1900-01-01 09:14:25,9,14,morning
1900-01-01 09:14:41,9,14,morning
1900-01-01 09:15:09,9,15,morning
1900-01-01 09:15:13,9,15,morning
1900-01-01 09:19:21,9,19,morning
1900-01-01 09:19:26,9,19,morning
1900-01-01 09:21:08,9,21,morning
1900-01-01 09:22:17,9,22,morning
1900-01-01 09:22:46,9,22,morning
1900-01-01 09:29:56,9,29,morning
1900-01-01 09:29:57,9,29,morning
1900-01-01 09:34:17,9,34,morning
1900-01-01 09:40:13,9,40,morning
1900-01-01 09:41:22,9,41,morning
1900-01-01 09:44:20,9,44,morning
1900-01-01 09:44:46,9,44,morning
1900-01-01 09:46:46,9,46,morning
1900-01-01 09:47:40,9,47,morning
1900-01-01 09:50:44,9,50,morning
1900-01-01 09:52:58,9,52,morning
1900-01-01 09:53:28,9,53,morning
1900-01-01 09:53:44,9,53,morning
1900-01-01 09:53:49,9,53,morning
1900-01-01 09:54:46,9,54,morning
1900-01-01 09:55:16,9,55,morning
1900-01-01 09:56:30,9,56,morning
1900-01-01 10:00:39,10,0,morning
1900-01-01 10:03:55,10,3,morning
1900-01-01 10:14:49,10,14,morning
1900-01-01 10:16:30,10,16,morning
1900-01-01 10:16:33,10,16,morning
1900-01-01 10:18:14,10,18,morning
1900-01-01 10:18:52,10,18,morning
1900-01-01 10:19:42,10,19,morning
1900-01-01 10:24:19,10,24,morning
1900-01-01 10:25:22,10,25,morning
1900-01-01 10:25:45,10,25,morning
1900-01-01 10:27:48,10,27,morning
1900-01-01 10:30:07,10,30,morning
1900-01-01 10:35:47,10,35,morning
1900-01-01 10:41:53,10,41,morning
1900-01-01 10:47:53,10,47,morning
1900-01-01 10:49:13,10,49,morning
1900-01-01 10:49:51,10,49,morning
1900-01-01 10:51:17,10,51,morning
1900-01-01 10:52:44,10,52,morning
1900-01-01 10:56:14,10,56,morning
1900-01-01 11:01:48,11,1,morning
1900-01-01 11:01:58,11,1,morning
1900-01-01 11:03:25,11,3,morning
1900-01-01 11:04:32,11,4,morning
1900-01-01 11:08:11,11,8,morning
1900-01-01 11:08:59,11,8,morning
1900-01-01 11:09:01,11,9,morning
1900-01-01 11:10:21,11,10,morning
1900-01-01 11:10:58,11,10,morning
1900-01-01 11:12:29,11,12,morning
1900-01-01 11:16:02,11,16,morning
1900-01-01 11:21:00,11,21,morning
1900-01-01 11:21:04,11,21,morning
1900-01-01 11:21:14,11,21,morning
1900-01-01 11:23:01,11,23,morning
1900-01-01 11:23:43,11,23,morning
1900-01-01 11:25:35,11,25,morning
1900-01-01 11:25:37,11,25,morning
1900-01-01 11:28:15,11,28,morning
1900-01-01 11:28:29,11,28,morning
1900-01-01 11:29:25,11,29,morning
1900-01-01 11:29:57,11,29,morning
1900-01-01 11:30:22,11,30,morning
1900-01-01 11:31:35,11,31,morning
1900-01-01 11:31:43,11,31,morning
1900-01-01 11:31:53,11,31,morning
1900-01-01 11:39:14,11,39,morning
1900-01-01 11:40:26,11,40,morning
1900-01-01 11:43:57,11,43,morning
1900-01-01 11:44:09,11,44,morning
1900-01-01 11:47:13,11,47,morning
1900-01-01 11:48:56,11,48,morning
1900-01-01 11:49:42,11,49,morning
1900-01-01 11:50:16,11,50,morning
1900-01-01 11:50:23,11,50,morning
1900-01-01 11:50:58,11,50,morning
1900-01-01 11:51:30,11,51,morning
1900-01-01 11:52:31,11,52,morning
1900-01-01 11:57:17,11,57,morning
1900-01-01 11:57:59,11,57,morning
1900-01-01 11:58:15,11,58,morning
1900-01-01 12:00:20,12,0,afternoon
1900-01-01 12:01:00,12,1,afternoon
1900-01-01 12:01:20,12,1,afternoon
1900-01-01 12:03:09,12,3,afternoon
1900-01-01 12:03:38,12,3,afternoon
1900-01-01 12:03:43,12,3,afternoon
