transaction_id,date_key,store_location,product_category,product_detail,transaction_qty,unit_price,total_amount
1,2023-01-01,Lower Manhattan,Coffee,Ethiopia Rg,2,3,6
2,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,2,"3,1","6,2"
3,2023-01-01,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg,2,"4,5",9
4,2023-01-01,Lower Manhattan,Coffee,Our Old Time Diner Blend Sm,1,2,2
5,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,2,"3,1","6,2"
6,2023-01-01,Lower Manhattan,Bakery,Oatmeal Scone,1,3,3
7,2023-01-01,Lower Manhattan,Coffee,Our Old Time Diner Blend Sm,1,2,2
8,2023-01-01,Lower Manhattan,Coffee,Columbian Medium Roast Sm,2,2,4
9,2023-01-01,Lower Manhattan,Coffee,Latte Rg,1,"4,25","4,25"
10,2023-01-01,Lower Manhattan,Drinking Chocolate,Dark chocolate Rg,2,"3,5",7
11,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,1,"2,55","2,55"
12,2023-01-01,Lower Manhattan,Coffee,Ethiopia Lg,2,"3,5",7
13,2023-01-01,Lower Manhattan,Tea,Earl Grey Lg,1,3,3
14,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,1,"3,1","3,1"
15,2023-01-01,Lower Manhattan,Coffee,Ouro Brasileiro shot,2,3,6
16,2023-01-01,Lower Manhattan,Tea,Serenity Green Tea Lg,2,3,6
17,2023-01-01,Lower Manhattan,Bakery,Jumbo Savory Scone,1,"3,75","3,75"
18,2023-01-01,Hell's Kitchen,Tea,Lemon Grass Rg,1,"2,5","2,5"
19,2023-01-01,Hell's Kitchen,Drinking Chocolate,Dark chocolate Lg,2,"4,5",9
20,2023-01-01,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg,1,"4,75","4,75"
21,2023-01-01,Hell's Kitchen,Coffee,Ethiopia Lg,2,"3,5",7
22,2023-01-01,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,2,"2,55","5,1"
23,2023-01-01,Lower Manhattan,Bakery,Hazelnut Biscotti,1,"3,25","3,25"
24,2023-01-01,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg,1,"2,55","2,55"
25,2023-01-01,Hell's Kitchen,Coffee,Cappuccino,1,"3,75","3,75"
26,2023-01-01,Lower Manhattan,Tea,Lemon Grass Lg,1,3,3
27,2023-01-01,Lower Manhattan,Bakery,Chocolate Chip Biscotti,1,"3,5","3,5"
28,2023-01-01,Lower Manhattan,Tea,Peppermint Lg,2,3,6
29,2023-01-01,Lower Manhattan,Bakery,Chocolate Croissant,1,"3,75","3,75"
30,2023-01-01,Hell's Kitchen,Coffee,Cappuccino,2,"3,75","7,5"
31,2023-01-01,Hell's Kitchen,Coffee,Latte,1,"3,75","3,75"
32,2023-01-01,Lower Manhattan,Coffee,Brazilian Rg,1,3,3
33,2023-01-01,Lower Manhattan,Coffee,Brazilian Lg,2,"3,5",7
34,2023-01-01,Lower Manhattan,Coffee,Columbian Medium Roast Rg,2,"2,5",5
35,2023-01-01,Hell's Kitchen,Tea,Morning Sunrise Chai Rg,1,"2,5","2,5"
36,2023-01-01,Lower Manhattan,Coffee,Brazilian Rg,1,3,3
37,2023-01-01,Lower Manhattan,Tea,Morning Sunrise Chai Lg,1,4,4
38,2023-01-01,Hell's Kitchen,Coffee,Cappuccino,2,"3,75","7,5"
39,2023-01-01,Hell's Kitchen,Tea,Peppermint Lg,1,3,3
40,2023-01-01,Hell's Kitchen,Tea,Peppermint Lg,2,3,6
41,2023-01-01,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg,1,3,3
